Error-kind,Expected args,Error description,From code (parsed with Gemini),API message (by Ernest)
ErrorKindTPMHierarchiesOwned,TPM2OwnedHierarchiesError,This computer's TPM is already in use by another system or application.,"One or more TPM hierarchy is currently owned, either because it has an authorization value or policy set. This will be supplied with a TPM2OwnedHierarchiesError as the argument.","One or more TPM hierarchy is currently owned, either because it has an authorization value or policy set."
ErrorKindTPMDeviceLockoutLockedOut,TPMDeviceLockoutRecoveryArg,This computer's TPM is currently locked.,The TPM's lockout hierarchy is currently unavailable because it is locked out. This is not the same as ErrorKindTPMDeviceLockout.,The TPM's lockout hierarchy is currently unavailable because it is locked out.
ErrorKindInsufficientTPMStorage,N/A,There is an issue with this computer's TPM. ,There isn't sufficient storage space available to support FDE along with reprovisioning in the future.,Insufficient storage space available to support FDE along with reprovisioning in the future.
ErrorKindNoSuitablePCRBank,<to be added>,There is an issue with this computer's TPM. ,It was not possible to select a suitable PCR bank. This could be because some mandatory PCR values are inconsistent with the TCG log.,It is not possible to select a suitable PCR bank. This could be because some mandatory PCR values are inconsistent with the TCG log.
ErrorKindMeasuredBoot,N/A,There is an issue with this computer's TPM. ,There was an error with the TCG log or some other error detected from the TCG log that isn't represented by a more specific error kind.,Error with the TCG log or some other error detected from the TCG log that is not represented by a more specific error kind.
ErrorKindEmptyPCRBanks,EmptyPCRBanksError,There is an issue with this computer's TPM. ,One or more PCR banks that are not present in the TCG log are enabled but have unused PCRs in the TCG defined space.,"One or more PCR banks that are not present in the TCG log are enabled but have unused PCRs in the TCG defined space (ie, any of PCRs 0-7 are at their reset value)."
ErrorKindTPMCommandFailed,TPMErrorResponse,There is an issue with this computer's TPM. ,An error occurred whilst executing a TPM command. It will be accompanied with an argument of the type TPMErrorResponse.,An error occurred whilst executing a TPM command.
ErrorKindInvalidTPMResponse,N/A,There is an issue with this computer's TPM. ,"The response from the TPM is invalid, which makes it impossible to obtain a response code.","The response from the TPM is invalid, which makes it impossible to obtain a response code."
ErrorKindTPMCommunication,N/A,There is an issue with this computer's TPM. ,An error occurred at the transport layer when executing a TPM command.,An error occurred at the transport layer when executing a TPM command.
ErrorKindUnsupportedPlatform,N/A,This computer is not compatible with hardware-backed encryption.,The current host platform is not compatible with FDE.,The current host platform is not compatible with FDE.
ErrorKindUEFIDebuggingEnabled,N/A,UEFI debugging is enabled.,The platform firmware currently has a debugging endpoint enabled.,The platform firmware currently has a debugging endpoint enabled.
ErrorKindInsufficientDMAProtection,N/A,This computer is missing a required security feature (DMA).,I/O DMA remapping was disabled during the current boot cycle.,I/O DMA remapping was disabled during the current boot cycle.
ErrorKindNoKernelIOMMU,N/A,This computer is missing a required security feature (kernel IOMMU).,"The OS kernel was not built with DMA remapping support, or some configuration has resulted in it being disabled.","The OS kernel was not built with DMA remapping support, or some configuration has resulted in it being disabled."
ErrorKindTPMStartupLocalityNotProtected,N/A,There is an issue with this computer's TPM. ,The system has a discrete TPM and the startup locality is not protected from access by privileged code running at ring 0.,The system has a discrete TPM and the startup locality is not protected from access by privileged code running at ring 0.
ErrorKindHostSecurity,N/A,There is an issue with this computer's security settings.,There is some problem with the system security that isn't represented by a more specific error kind.,Problem with the system security that is not represented by a more specific error kind.
ErrorKindPCRUnusable,PCRUnusableArg,There is an issue with this computer's TPM. ,An error in the way that the platform firmware performs measurements such that the PCR becomes unusable. This will be accompanied by a PCRUnusableArg argument.,An error in the way that the platform firmware performs measurements such that the PCR becomes unusable.
ErrorKindPCRUnsupported,PCRUnsupportedArgs,There is an issue with this computer's TPM. ,A required PCR is currently unsupported by the efi sub-package. This will be accompanied by a PCRUnsupportedArgs argument.,Required PCR is currently unsupported by the efi sub-package.
ErrorKindVARSuppliedDriversPresent,<to be added>,Additional software was detected during startup that prevents a secure connection with the computer's TPM.,Drivers running from value-added-retailer components were detected.,Drivers running from value-added-retailer components were detected.
ErrorKindSysPrepApplicationsPresent,N/A,Additional software was detected during startup that prevents a secure connection with the computer's TPM.,System preparation applications were detected to be running before the operating system.,System preparation applications were detected to be running before the operating system.
ErrorKindAbsolutePresent,N/A,Additional software was detected during startup that prevents a secure connection with the computer's TPM.,Absolute was detected to be executing before the initial OS loader.,Absolute was detected to be executing before the initial OS loader.
ErrorKindInvalidSecureBootMode,N/A,Secure boot is disabled in this computer.,The secure boot mode is invalid. Either secure boot is disabled or deployed mode is not enabled.,The secure boot mode is invalid.
ErrorKindWeakSecureBootAlgorithmsDetected,N/A,Some of the security certificates verifying components in your computer are outdated or use weak protection.,"Either pre-OS components were authenticated with weak Authenticode digests, or CAs with weak public keys were used to authenticate components.","Either pre-OS components were authenticated with weak Authenticode digests, or CAs with weak public keys were used to authenticate components."
ErrorKindPreOSDigestVerificationDetected,<to be added>,?,Pre-OS components were authenticated by matching their Authenticode digest to an entry in db.,Pre-OS components were authenticated by matching their Authenticode digest to an entry in db.
